id,smiles,MolWt,TPSA,HBA,HBD,MolLogP,NumRotatableBonds,RingCount
BR020413,Cc1ccc(NC(=O)CN2CCc3ccccc3C2)cc1,280.371,32.34,3,1,2.9918200000000015,3,3
BR020248,c1ccc(-c2ccc(-c3ccccc3)o2)cc1,220.271,13.14,1,0,4.6136000000000035,2,3
BR010528,CC(=O)O[C@H]1O[C@H](CN=[N+]=[N-])[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O,373.31800000000015,163.19,12,0,0.37979999999999925,6,1
BR020146,O=C(NCCO)c1ccc(CN2CCc3ccccc3C2)c([N+](=O)[O-])c1,355.3940000000001,95.71000000000001,7,2,1.8751999999999998,6,3
BR010043,C=CCO[C@H]1O[C@H](COS(=O)(=O)c2ccc(C)cc2)[C@@H](O)[C@H](O)[C@H]1NC(C)=O,415.46400000000006,131.39000000000001,9,3,-0.14568000000000003,8,2
BR020373,O=C1/C(=C/c2cccc3cnccc23)CCC/C1=C\c1cccc2cnccc12,376.45900000000006,42.85,3,0,6.003000000000005,2,5
BR020453,CCOC(=O)C(N=CCC#N)C(=O)OCC,226.23199999999997,88.75,6,0,0.46567999999999987,6,0
BR020312,CC1(C)O[C@H]2O[C@H](COC(=O)/C=C/c3ccccc3)[C@H](OC(=O)c3ccccc3)[C@H]2O1,424.4490000000002,80.29,7,0,3.3450000000000024,6,4
BR020114,O=C(O)c1ccc(-c2ccc(Cl)cc2)o1,222.62699999999998,50.44,3,1,3.2982000000000014,2,2
V1_5_1072,O=C(NN=Cc1cccc(O)c1)c1ccccc1,240.262,61.69,4,2,2.1561000000000003,3,2
BR010082,C=CCOc1ccc(/C=C/C(=O)Cl)cc1,222.671,26.3,2,0,3.030000000000001,5,1
BR020156,CCCC(=O)NC[C@@H](O)CN,160.21699999999998,75.35,4,4,-0.7776999999999987,5,0
V1_5_720,C=CCc1cc(OC)c(O[C@@H]2O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]2OC(C)=O)cc1NC(=O)c1ccc(C)cc1,627.6430000000001,161.99,13,1,3.446320000000002,12,3
V1_5_441,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](OCCc3ccccc3)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,446.44900000000007,178.53,11,7,-3.1301999999999954,8,3
BR020216,c1ccc(-c2csc(NN=C3CCCC3)n2)cc1,257.36199999999997,37.28,3,1,4.152000000000002,3,3
BR010062,CC(=O)NC[C@H]1O[C@H](OCCCCO[C@H]2O[C@H](CNC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]2NC(C)=O)[C@H](NC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,746.7640000000002,258.52,20,4,-1.7419999999999873,17,2
V1_5_302,O=C(N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O)c1ccccc1I,409.176,119.25000000000001,7,5,-1.1790999999999994,3,2
V1_5_241,CC(=O)N[C@H]1[C@H](Oc2ccc(C)cc2)O[C@@H]2CO[C@H](c3ccccc3)O[C@H]2[C@@H]1OC(=O)c1ccccc1,503.55100000000016,92.32000000000002,8,1,3.943220000000003,6,5
V1_5_986,CCCCCCCCNCc1ccc(OC)c(OC)c1,279.424,30.49,3,1,4.153900000000003,11,1
BR010635,CCCCNC(COc1ccc(C)cc1)COc1ccc(C)cc1,327.468,30.49,3,1,4.519540000000004,10,2
BR010658,COc1cc(C=O)ccc1O[C@@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1NC(C)=O,481.45400000000024,152.76000000000002,12,1,0.5426000000000004,9,2
BR010164,COC(=O)c1ccc(O[C@@H]2O[C@H](COS(=O)(=O)c3ccc(C)cc3)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@H]2OC(C)=O)cc1,594.5910000000002,167.03,13,0,2.0859199999999993,10,3
BR020095,OCCN1CCN(c2ccnc3cc(Cl)ccc23)CC1,291.7820000000001,39.6,4,1,2.0024999999999995,3,3
V1_5_123,C[C@@]12CCC[C@@](C)(C(=O)O)[C@@H]1CC[C@@]13C[C@@H](CC[C@@H]12)[C@@](C)(O)C3,320.473,57.53,3,2,4.234900000000003,1,4
V1_5_757,C=CCc1cc(NC(=O)c2ccc(OC)cc2)c(O)c(OC)c1,313.35300000000007,67.79,5,2,3.390200000000001,6,2
BR010268,CO[C@@H]1O[C@H](Cn2cc(CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)nn2)[C@@H](O)[C@H]1O,407.37600000000003,189.01,13,6,-4.312299999999994,7,3
V1_5_1074,COc1cccc2cc(C(=O)O)c(=O)oc12,220.17999999999995,76.74000000000001,5,1,1.4997999999999998,2,2
V1_5_942,CCCCCCNC(=O)C=Cc1ccc(O)c(O)c1,263.337,69.56,4,3,2.807500000000002,7,1
BR010059,CC(=O)NC[C@H]1O[C@H](OC[C@@H](O)[C@@H](O)CN)[C@H](NC(C)=O)[C@@H](O)[C@@H]1O,365.38300000000004,183.6,11,8,-4.228999999999993,8,1
V1_5_213,CC(=O)OC[C@@H](OC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)c1nn[nH]n1,358.3070000000001,159.66000000000003,12,1,-0.769599999999999,8,1
BR020446,OCc1cc2cc(Cl)ccc2[nH]1,181.622,36.019999999999996,2,2,2.3135999999999997,1,2
BR020428,Clc1ccncn1,114.535,25.78,2,0,1.1299999999999997,0,1
BR020377,O=Cc1ccc(CBr)cc1,199.047,17.07,1,0,2.394,2,1
BR020358,C/C=C/C(=O)O[C@H]1[C@H](OC)[C@@H](OC)[C@@H](OC)O[C@@H]1CNC(=O)CC,345.3920000000001,92.32000000000002,8,1,0.4018000000000011,8,1
BR010046,C=CCO[C@H]1O[C@H](CNC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1NC(C)=O,386.4010000000001,129.26000000000002,10,2,-0.5818999999999979,8,1
V1_5_862,COc1cccc2c(=O)n(-c3ccccc3)oc12,241.24599999999998,44.370000000000005,4,0,2.5923000000000007,2,3
BR010475,COC(=O)c1ccc(/C=C\[C@H]2COC(C)(C)N2C(=O)OC(C)(C)C)cc1,361.4380000000001,65.07000000000001,6,0,3.858400000000003,3,2
BR020129,O=C(On1c(O)ccc1O)c1ccc(CCl)c([N+](=O)[O-])c1,312.665,114.83000000000001,8,2,1.8153000000000001,4,2
BR020097,C#CCOc1ccnc2cc(Cl)ccc12,217.655,22.12,2,0,2.9002000000000017,2,2
BR020258,CC(C)=CCC/C(C)=N\NC(N)=O,183.255,67.47999999999999,4,3,1.777,4,0
BR010054,CC(=O)NC[C@H]1O[C@H](OC[C@@H](O)[C@H](O)CNC(=O)OC(C)(C)C)[C@H](NC(C)=O)[C@@H](O)[C@@H]1O,465.5000000000002,195.90999999999997,13,7,-2.6629999999999927,9,1
BR010533,NC(COc1cccc([N+](=O)[O-])c1)COc1cccc([N+](=O)[O-])c1,333.3,130.76000000000002,9,2,2.2881,8,2
BR010440,CC1(C)OC[C@H](COc2ccc([N+](=O)[O-])cc2)N1C(=O)/C=C/c1ccccc1,382.4160000000001,81.91,7,0,3.6505000000000027,6,3
BR020063,COc1ccc(-c2csc(N/N=C3\CCCC[C@@H]3[C@@H](O)c3cccc([N+](=O)[O-])c3)n2)cc1,452.53600000000006,109.88,8,2,5.418600000000006,7,4
BR010091,COC(=O)c1ccc(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](OCC#N)[C@H]2O)cc1,353.3270000000001,138.47,9,3,-0.8002200000000006,6,2
V1_5_82,COC(=O)[C@]1(C)CCC[C@@]2(C)[C@@H]3CC[C@H]4C[C@@]3(CC[C@H]21)C[C@@H]4CO[C@]1(C)O[C@@H]2O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]2O1,664.7890000000003,142.12000000000003,12,0,4.445600000000003,8,6
BR020276,NC(=O)c1ccc(-c2ccco2)cc1,187.19799999999998,56.230000000000004,3,2,2.0454999999999997,2,2
BR010118,CC(=O)OC[C@H]1O[C@@H](NS(=O)(=O)c2ccccc2)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O,487.4830000000003,160.6,12,1,0.04800000000000071,8,2
BR010441,CC(C)(C)C(=O)N1[C@@H](COc2ccc([N+](=O)[O-])cc2)COC1(C)C,336.38800000000015,81.91000000000001,7,0,2.983200000000002,4,2
BR010526,[N-]=[N+]=NC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,205.17,138.91000000000003,8,4,-1.9034000000000006,2,1
V1_5_1004,COc1ccc2c(c1)C[C@H](CN1CCN(c3ccccc3)CC1)O2,324.4240000000001,24.94,4,0,2.820900000000001,4,4
