id,smiles,MolWt,TPSA,HBA,HBD,MolLogP,NumRotatableBonds,RingCount
NuBBE_1497_obabel_3D.mol2,CCCCCCCCCCCCCCCC(=O)O,256.4299999999999,37.3,2,1,5.552300000000005,14,0
NuBBE_1396_obabel_3D.mol2,C=C1CC[C@H]2[C@@H]([C@H]3[C@H]1CC[C@]3(C)O)C2(C)C,220.35599999999994,20.23,1,1,3.3858000000000024,0,3
NuBBE_1417_obabel_3D.mol2,C=C[C@@]1(C)CCC(=C(C)C)C[C@@H]1C(=C)C,204.35699999999997,0.0,0,0,4.891300000000005,2,1
NuBBE_2335_obabel_3D.mol2,C=C1C=C2[C@@H](CC1)[C@H](C)CC[C@@H]2C(C)C,204.35699999999997,0.0,0,0,4.581100000000004,1,2
NuBBE_1376_obabel_3D.mol2,CCC[C@H](O)CC,102.17699999999999,20.23,1,1,1.5574,3,0
NuBBE_316_obabel_3D.mol2,C[C@H]1[C@@H](C)CC[C@]2(C(=O)O)CC[C@]3(C(=O)O)C(=CC[C@@H]4[C@]5(C)CC[C@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)C(C)(C)[C@H]5CC[C@@]43C)[C@@H]12,648.8340000000001,173.98,10,6,3.9784000000000024,5,6
NuBBE_34_obabel_3D.mol2,CC(C)=C/C=C/[C@@]1(C)CCc2c(cc(C)c(CC=C(C)C)c2O)O1,326.48,29.46,2,1,5.815420000000007,4,2
NuBBE_1707_obabel_3D.mol2,C=C(C)[C@@H]1CC[C@@]2(CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,442.7280000000003,40.46,2,2,6.997200000000009,2,5
NuBBE_2283_obabel_3D.mol2,C=CC[C@@]12CC(OC)C(=O)C=C1O[C@H](c1ccc3c(c1)OCO3)[C@H]2C,342.3910000000001,53.99000000000001,5,0,3.5569000000000024,4,4
NuBBE_1317_obabel_3D.mol2,CC1(C)C=Cc2c(ccc3c2O[C@H](c2ccccc2)CC3=O)O1,306.3610000000001,35.53,3,0,4.577300000000004,1,4
NuBBE_241_obabel_3D.mol2,Oc1cc(O)c2c(c1)O[C@H](c1cc(O)c(O)c(O)c1)[C@H](O)C2,306.27000000000004,130.61,7,6,1.2517,1,3
NuBBE_1113_obabel_3D.mol2,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@H]3C[C@@H](O)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]12C)C(C)C,428.7010000000003,37.3,2,1,7.20380000000001,6,4
